Task,Category,Base_Remask_False,Base_Remask_True,Vanilla_Remask_False,Vanilla_Remask_True,Mixture_Remask_False,Mixture_Remask_True
waiting_line_copy,Certain,99.58,99.46,99.98,99.98,100.0,100.0
waiting_line_reverse,Certain,93.43,95.84,100.0,100.0,99.98,99.98
waiting_line_sort,Certain,33.79,34.22,83.17,77.27,80.86,81.56
waiting_line_insert_index,Certain,34.69,35.4,99.92,99.94,99.82,99.86
waiting_line_remove_index,Certain,42.47,42.55,99.96,99.96,99.94,99.94
waiting_line_replace_index,Certain,45.92,45.82,99.96,99.96,99.98,99.98
waiting_line_shuffle,Uncertain,92.38,73.63,99.5,43.75,99.54,83.58
waiting_line_insert_random,Uncertain,73.18,67.21,99.36,84.88,99.2,95.46
waiting_line_remove_random,Uncertain,98.32,92.77,99.96,79.2,99.98,94.48
waiting_line_replace_random,Uncertain,93.2,90.17,98.94,80.84,99.44,93.36
=== Average (All Tasks) ===,,70.69,67.71,98.08,86.58,97.87,94.82
=== Average (Certain Tasks) ===,Certain,58.31,58.88,97.17,96.18,96.76,96.89
=== Average (Uncertain Tasks) ===,Uncertain,89.27,80.94,99.44,72.17,99.54,91.72
