Task,Category,Base_Accuracy,Vanilla_Accuracy,Mixture_Accuracy
waiting_line_copy,Certain,99.72,100.0,100.0
waiting_line_reverse,Certain,98.41,100.0,100.0
waiting_line_sort,Certain,36.22,77.65,82.38
waiting_line_insert_index,Certain,37.09,99.96,99.92
waiting_line_remove_index,Certain,43.04,99.98,99.96
waiting_line_replace_index,Certain,45.83,99.96,100.0
waiting_line_shuffle,Uncertain,75.37,44.66,83.96
waiting_line_insert_random,Uncertain,69.77,86.52,96.16
waiting_line_remove_random,Uncertain,92.6,79.49,94.62
waiting_line_replace_random,Uncertain,93.29,83.3,94.2
=== Average (All Tasks) ===,,69.13,87.15,95.12
=== Average (Certain Tasks) ===,Certain,60.05,96.26,97.04
=== Average (Uncertain Tasks) ===,Uncertain,82.76,73.49,92.24
