layer_id,active_experts,slowest_expert_id,slowest_est_ms,fastest_expert_id,fastest_est_ms,mean_est_ms,p50_est_ms,p95_est_ms,slow_over_mean,slow_over_p50,slow_over_fast
1,162,175,0.08641600236296654,8,0.001964000053703785,0.006207210046273691,0.00392800010740757,0.01571200042963028,13.921875,22.0,44.0
2,172,239,0.037044001277536154,5,0.0020580000709742308,0.00612613974615585,0.0041160001419484615,0.020580000709742308,6.046875,9.0,18.0
3,90,45,0.07385600358247757,6,0.001154000055976212,0.006564978096220229,0.002308000111952424,0.02769600134342909,11.25,32.0,64.0
4,100,238,0.04318999883253127,11,0.0012339999666437507,0.006318079829216003,0.0024679999332875013,0.03578599903266877,6.8359375,17.5,35.0
5,73,210,0.06017999805044383,12,0.001019999966956675,0.007153972370983803,0.00203999993391335,0.03365999890957028,8.412109375,29.5,59.0
6,69,205,0.05832000053487718,1,0.0009720000089146197,0.007212521805279497,0.0019440000178292394,0.03207600029418245,8.0859375,30.0,60.0
7,80,227,0.052233998430892825,7,0.0010659999679774046,0.006822399795055389,0.002131999935954809,0.036243998911231756,7.65625,24.5,49.0
8,58,207,0.05180199950700626,13,0.0008779999916441739,0.007750620615893397,0.0026339999749325216,0.04565599956549704,6.68359375,19.666666666666668,59.0
9,63,7,0.059647999703884125,3,0.0009319999953731894,0.00757434916874719,0.0027959999861195683,0.03821199981030077,7.875,21.333333333333332,64.0
10,65,143,0.046400001156143844,23,0.0009280000231228769,0.007309784797521738,0.0018560000462457538,0.03897600097116083,6.34765625,25.0,50.0
11,80,23,0.0625400022836402,15,0.0010600000387057662,0.0067840002477169035,0.0031800001161172986,0.031800001161172986,9.21875,19.666666666666668,59.0
12,111,221,0.06099599855951965,1,0.0013259999686852098,0.006116324179881328,0.003977999906055629,0.018563999561592937,9.97265625,15.333333333333334,46.0
13,119,179,0.07009999826550484,3,0.0014019999653100967,0.006032134304527475,0.00420599989593029,0.02102999947965145,11.62109375,16.666666666666668,50.0
14,118,126,0.0686999992467463,5,0.001373999984934926,0.005961762646497306,0.004121999954804778,0.015113999834284186,11.5234375,16.666666666666668,50.0
15,113,184,0.06038999883458018,4,0.0013419999741017818,0.006080566254337277,0.0040259999223053455,0.018787999637424946,9.931640625,15.0,45.0
16,118,253,0.08259999705478549,0,0.00139999995008111,0.006074576054589223,0.00419999985024333,0.02379999915137887,13.59765625,19.666666666666668,59.0
17,94,17,0.06973800214473158,9,0.0011820000363513827,0.006438127857573489,0.0023640000727027655,0.02600400079973042,10.83203125,29.5,59.0
18,98,187,0.05929000081960112,7,0.0012100000167265534,0.006321632740448932,0.0036300000501796603,0.021780000301077962,9.37890625,16.333333333333332,49.0
19,129,139,0.039798001293092966,6,0.001474000047892332,0.005850294763727706,0.002948000095784664,0.023584000766277313,6.802734375,13.5,27.0
